Suburb,Address,Rooms,Type,Price,Method,Seller,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Latitude,Longitude,Region,Propertycount,LogPrice,SaleYear,SaleMonth,PropertyAge,Price_per_sqm
Balwyn,166 Gordon St,2,h,2100000,S,Marshall,2023-09-03,9.7,3103,2,1,1.0,659,123.0,1920.0,Boroondara,-37.8094,145.0807,Southern Metropolitan,5682,14.557448378884015,2023,9,103.0,17073.170731707316
Balwyn,36 Narrak Rd,4,h,1800000,VB,Marshall,2023-09-03,9.7,3103,4,2,2.0,715,218.0,1985.0,Boroondara,-37.811,145.0958,Southern Metropolitan,5682,14.403297778421795,2023,9,38.0,8256.880733944954
Balwyn,2/16 Westminster St,2,t,1255000,S,Noel,2023-09-03,9.7,3103,2,1,1.0,208,129.0,2000.0,Boroondara,-37.8128,145.0975,Southern Metropolitan,5682,14.042646927360453,2023,9,23.0,9728.682170542636
Balwyn North,3/41 Clifton St,3,t,1315000,S,hockingstuart,2023-09-03,9.2,3104,3,2,2.0,260,167.0,2000.0,Boroondara,-37.7966,145.1021,Southern Metropolitan,7809,14.089347984049986,2023,9,23.0,7874.251497005988
Balwyn North,153 Doncaster Rd,3,h,1500000,PI,Jellis,2023-09-03,9.2,3104,3,2,1.0,778,154.0,1950.0,Boroondara,-37.7939,145.0789,Southern Metropolitan,7809,14.220976332738882,2023,9,73.0,9740.25974025974
Balwyn North,19 Jacka St,4,h,3230000,S,Jellis,2023-09-03,9.2,3104,4,4,3.0,1135,275.0,1960.0,Boroondara,-37.8014,145.0892,Southern Metropolitan,7809,14.987993004796314,2023,9,63.0,11745.454545454546
Balwyn North,32 Jaserfold St,2,h,1080000,S,Jellis,2023-09-03,9.2,3104,2,1,1.0,253,,,Boroondara,-37.7912,145.085,Southern Metropolitan,7809,13.8924725250259,2023,9,,
Bentleigh,5/205 Centre Rd,2,u,636000,S,hockingstuart,2023-09-03,13.0,3204,2,1,2.0,202,,1974.0,Glen Eira,-37.9165,145.0259,Southern Metropolitan,6795,13.362955414648066,2023,9,49.0,
Bentleigh,22 Hobart St,2,h,1275000,S,Woodards,2023-09-03,13.0,3204,2,1,2.0,599,,,Glen Eira,-37.925,145.046,Southern Metropolitan,6795,14.058457520888082,2023,9,,
Bentleigh,1/236 Patterson Rd,3,u,875000,S,hockingstuart,2023-09-03,13.0,3204,3,1,2.0,348,121.0,1950.0,Glen Eira,-37.9273,145.0479,Southern Metropolitan,6795,13.681980308196241,2023,9,73.0,7231.4049586776855
Bentleigh,2/531 South Rd,3,t,895000,PI,Ray,2023-09-03,13.0,3204,3,2,2.0,362,,1997.0,Glen Eira,-37.9336,145.043,Southern Metropolitan,6795,13.704580114574805,2023,9,26.0,
Bentleigh East,18 Mervin St,2,h,1410000,S,hockingstuart,2023-09-03,13.9,3165,2,1,2.0,768,,,Glen Eira,-37.9305,145.0547,Southern Metropolitan,10969,14.159100971573958,2023,9,,
Bentleigh East,1/69 Purtell St,3,t,760000,PI,hockingstuart,2023-09-03,13.9,3165,3,1,2.0,287,,,Glen Eira,-37.9261,145.0566,Southern Metropolitan,10969,13.541075028051122,2023,9,,
Bentleigh East,30 Veronica St,2,h,825000,S,Buxton,2023-09-03,13.9,3165,2,2,1.0,176,125.0,2008.0,Glen Eira,-37.9237,145.0763,Southern Metropolitan,10969,13.623139877437296,2023,9,15.0,6600.0
Box Hill,32 Margaret St,4,h,1620000,S,hockingstuart,2023-09-03,13.1,3128,4,2,2.0,697,255.0,1940.0,Whitehorse,-37.8151,145.135,Eastern Metropolitan,4605,14.297937324492327,2023,9,83.0,6352.941176470588
Braybrook,132 Duke St,3,h,870000,S,Barry,2023-09-03,10.8,3019,3,2,4.0,700,,,Maribyrnong,-37.7824,144.8469,Western Metropolitan,3589,13.676249640055394,2023,9,,
Braybrook,25 Lily St,2,h,645000,S,Barry,2023-09-03,10.8,3019,2,1,1.0,566,75.0,1950.0,Maribyrnong,-37.7839,144.8524,Western Metropolitan,3589,13.377007146164305,2023,9,73.0,8600.0
Brighton,802 Hampton St,3,h,1550000,VB,Buxton,2023-09-03,11.2,3186,3,2,2.0,663,,1940.0,Bayside,-37.9159,145.0068,Southern Metropolitan,10579,14.253766134056512,2023,9,83.0,
Brighton,18 Rooding St,3,h,1635000,S,Buxton,2023-09-03,11.2,3186,3,1,2.0,366,156.0,1920.0,Bayside,-37.9038,145.0001,Southern Metropolitan,10579,14.3071539739341,2023,9,103.0,10480.76923076923
Brighton East,7 Balfour St,4,h,1940000,S,hockingstuart,2023-09-03,10.7,3187,4,2,2.0,682,240.0,1960.0,Bayside,-37.9205,145.0122,Southern Metropolitan,6938,14.478199046503295,2023,9,63.0,8083.333333333333
Brighton East,4 Marriage Rd,4,h,1850000,S,Nick,2023-09-03,10.7,3187,4,2,2.0,617,268.0,1940.0,Bayside,-37.9187,145.007,Southern Metropolitan,6938,14.430696737594902,2023,9,83.0,6902.985074626866
Brighton East,244a South Rd,3,h,930000,SP,Marshall,2023-09-03,10.7,3187,3,1,1.0,329,117.0,1930.0,Bayside,-37.9317,145.0218,Southern Metropolitan,6938,13.742940940397677,2023,9,93.0,7948.717948717948
Brunswick,8/55 De Carle St,2,u,428000,S,Brad,2023-09-03,5.2,3056,2,1,2.0,0,,1970.0,Moreland,-37.7593,144.9652,Northern Metropolitan,11918,12.966880811009803,2023,9,53.0,
Brunswick,234 Victoria St,2,h,1026000,S,Nelson,2023-09-03,5.2,3056,2,1,0.0,225,108.0,1905.0,Moreland,-37.7676,144.9665,Northern Metropolitan,11918,13.841179279371246,2023,9,118.0,9500.0
Brunswick West,8/7 Passfield St,2,u,521500,S,Peter,2023-09-03,5.9,3055,2,1,1.0,0,69.0,1960.0,Moreland,-37.768,144.9408,Northern Metropolitan,7082,13.164466470966667,2023,9,63.0,7557.971014492754
Bulleen,19a Elizabeth St,3,u,851000,S,Jellis,2023-09-03,11.8,3105,3,1,2.0,385,140.0,2000.0,Manningham,-37.7599,145.0849,Eastern Metropolitan,4480,13.654168582642953,2023,9,23.0,6078.571428571428
Bulleen,42 Robert St,4,h,1300000,S,Jellis,2023-09-03,11.8,3105,4,1,2.0,717,180.0,1960.0,Manningham,-37.7608,145.0862,Eastern Metropolitan,4480,14.077875591662238,2023,9,63.0,7222.222222222223
Bulleen,92 Swanston St,4,h,1110000,PI,Barry,2023-09-03,11.8,3105,3,2,2.0,562,,,Manningham,-37.7628,145.0994,Eastern Metropolitan,4480,13.919871474189012,2023,9,,
Bulleen,25 William St,4,h,1235000,S,Jellis,2023-09-03,11.8,3105,4,2,2.0,556,214.0,1957.0,Manningham,-37.7657,145.0957,Eastern Metropolitan,4480,14.026582337760486,2023,9,66.0,5771.028037383177
Burwood,15 Loudon Rd,5,h,1590000,S,Jellis,2023-09-03,11.7,3125,4,3,2.0,661,253.0,1940.0,Whitehorse,-37.848,145.098,Southern Metropolitan,5678,14.279245203127035,2023,9,83.0,6284.584980237154
Camberwell,28 Brinsley Rd,4,h,2650000,S,Jellis,2023-09-03,7.8,3124,4,2,1.0,652,189.0,1890.0,Boroondara,-37.8286,145.0686,Southern Metropolitan,8920,14.790070575320824,2023,9,133.0,14021.16402116402
Camberwell,2/1 Glen Iris Rd,3,t,1615000,S,Marshall,2023-09-03,7.8,3124,3,1,2.0,389,,,Boroondara,-37.8435,145.0695,Southern Metropolitan,8920,14.29484613383375,2023,9,,
Camberwell,1288 Toorak Rd,4,h,3225000,SA,RT,2023-09-03,7.8,3124,4,3,2.0,934,,,Boroondara,-37.8496,145.0869,Southern Metropolitan,8920,14.986443818289482,2023,9,,
Canterbury,18 Irilbarra Rd,4,h,2950000,S,Marshall,2023-09-03,9.0,3126,4,2,2.0,687,215.0,1935.0,Boroondara,-37.8186,145.0706,Southern Metropolitan,3265,14.897316067298997,2023,9,88.0,13720.93023255814
Carlton North,527 Nicholson St,3,h,1330000,VB,Nelson,2023-09-03,3.2,3054,3,1,1.0,314,,1900.0,Yarra,-37.7871,144.9766,Northern Metropolitan,3106,14.100690252077353,2023,9,123.0,
Carnegie,1/60 Moonya Rd,3,u,820000,S,Ray,2023-09-03,11.4,3163,3,1,2.0,0,96.0,1989.0,Glen Eira,-37.897,145.0623,Southern Metropolitan,7822,13.617060838751888,2023,9,34.0,8541.666666666666
Carnegie,1/70 Truganini Rd,2,t,795000,S,Gary,2023-09-03,11.4,3163,2,2,1.0,133,104.0,2009.0,Glen Eira,-37.8911,145.0539,Southern Metropolitan,7822,13.586098651497313,2023,9,14.0,7644.2307692307695
Caulfield,6/5 Freeman St,2,u,722500,S,Gary,2023-09-03,8.9,3162,2,1,1.0,0,100.0,1960.0,Glen Eira,-37.8865,145.0302,Southern Metropolitan,2379,13.490474083050811,2023,9,63.0,7225.0
Caulfield North,14 Arthur St,3,h,1365000,S,McGrath,2023-09-03,8.1,3161,3,1,0.0,513,,,Glen Eira,-37.8678,145.027,Southern Metropolitan,6923,14.126665719201661,2023,9,,
Caulfield North,452 Dandenong Rd,3,h,1750000,S,Marshall,2023-09-03,8.1,3161,3,2,2.0,692,313.0,1955.0,Glen Eira,-37.8629,145.019,Southern Metropolitan,6923,14.375126917328105,2023,9,68.0,5591.054313099042
Caulfield South,26 Flowers St,3,h,1577500,S,hockingstuart,2023-09-03,9.3,3162,3,2,2.0,357,144.0,1935.0,Glen Eira,-37.8896,145.0307,Southern Metropolitan,5051,14.271352507311725,2023,9,88.0,10954.861111111111
Chadstone,3/10 Euroka St,3,t,752000,S,Buxton,2023-09-03,13.6,3148,3,2,1.0,182,,,Monash,-37.8786,145.1015,Southern Metropolitan,3582,13.530492932718326,2023,9,,
Clifton Hill,60a Hodgkinson St,3,h,1270000,S,Nelson,2023-09-03,3.4,3068,3,2,0.0,187,,,Yarra,-37.7902,144.9894,Northern Metropolitan,2954,14.054528245836039,2023,9,,
Coburg,29 Molesworth St,2,h,850000,SP,Brad,2023-09-03,7.8,3058,2,1,1.0,371,93.0,1930.0,Moreland,-37.735,144.9589,Northern Metropolitan,11204,13.652992804936396,2023,9,93.0,9139.78494623656
Coburg,10 Shackell St,3,h,784000,S,Nelson,2023-09-03,7.8,3058,2,1,1.0,286,110.0,1890.0,Moreland,-37.7427,144.952,Northern Metropolitan,11204,13.572165574841936,2023,9,133.0,7127.272727272727
Collingwood,69 Hotham St,2,t,750000,S,Jellis,2023-09-03,1.6,3066,2,1,1.0,115,,,Yarra,-37.7968,144.9891,Northern Metropolitan,4553,13.527829818844937,2023,9,,
Collingwood,130 Keele St,2,h,890000,S,LITTLE,2023-09-03,1.6,3066,2,1,1.0,178,70.0,1900.0,Yarra,-37.7974,144.9915,Northern Metropolitan,4553,13.698977865303197,2023,9,123.0,12714.285714285714
Collingwood,10/79 Oxford St,2,u,1260000,S,Jellis,2023-09-03,1.6,3066,2,1,1.0,0,129.0,1900.0,Yarra,-37.8042,144.9845,Northern Metropolitan,4553,14.04662307257814,2023,9,123.0,9767.441860465116
Collingwood,2/79 Oxford St,2,u,855000,S,Nelson,2023-09-03,1.6,3066,2,1,1.0,2886,122.0,1830.0,Yarra,-37.8042,144.9845,Northern Metropolitan,4553,13.658857917508856,2023,9,193.0,7008.196721311476
Doncaster,329 George St,4,h,1924500,S,Barry,2023-09-03,13.9,3108,4,4,2.0,1157,,,Manningham,-37.7779,145.127,Eastern Metropolitan,9028,14.470177271321287,2023,9,,
Doncaster,2/20 Wetherby Rd,2,u,492500,S,Barry,2023-09-03,13.9,3108,2,1,1.0,65,,1975.0,Manningham,-37.7887,145.1438,Eastern Metropolitan,9028,13.107251770049071,2023,9,48.0,
Elsternwick,30 Ross St,2,h,900000,VB,Gary,2023-09-03,8.5,3185,2,1,2.0,239,110.0,1940.0,Glen Eira,-37.8845,144.999,Southern Metropolitan,4898,13.710151153416941,2023,9,83.0,8181.818181818182
Elwood,8/44 Southey St,1,u,520000,S,Chisholm,2023-09-03,7.7,3184,1,1,1.0,0,51.0,1930.0,Port Phillip,-37.8761,144.9871,Southern Metropolitan,8989,13.161586013632684,2023,9,93.0,10196.078431372549
Elwood,1/10 Wilton Gr,3,t,1350000,S,hockingstuart,2023-09-03,7.7,3184,3,2,2.0,1170,,,Port Phillip,-37.8831,144.9801,Southern Metropolitan,8989,14.115615891155079,2023,9,,
Essendon,6 Buckley St,3,h,1425000,S,Jellis,2023-09-03,8.0,3040,3,2,2.0,684,147.0,1950.0,Moonee Valley,-37.7585,144.9317,Western Metropolitan,9264,14.169683073439028,2023,9,73.0,9693.877551020409
Essendon,1/28 Gilbertson St,2,u,660000,S,Barry,2023-09-03,8.0,3040,2,1,1.0,263,113.0,1980.0,Moonee Valley,-37.7418,144.8977,Western Metropolitan,9264,13.399996629152975,2023,9,43.0,5840.70796460177
Essendon,3/85 Tennyson St,2,u,550000,VB,Nelson,2023-09-03,8.0,3040,2,1,1.0,0,83.0,1980.0,Moonee Valley,-37.7575,144.9298,Western Metropolitan,9264,13.217675375388819,2023,9,43.0,6626.506024096386
Essendon North,2/17 Bulla Rd,2,u,396000,S,Barry,2023-09-03,9.4,3041,2,1,1.0,0,56.0,1975.0,Moonee Valley,-37.7428,144.9086,Western Metropolitan,1308,12.889172015485954,2023,9,48.0,7071.428571428572
Fairfield,150 Gillies St,3,h,1250000,VB,Jellis,2023-09-03,5.8,3078,3,2,0.0,327,144.0,1910.0,Darebin,-37.7723,145.0179,Northern Metropolitan,2970,14.038654909278163,2023,9,113.0,8680.555555555555
Fitzroy,111 Cecil St,2,h,1000000,S,Nelson,2023-09-03,1.6,3065,2,1,0.0,128,,,Yarra,-37.7941,144.9802,Northern Metropolitan,5825,13.815511557963774,2023,9,,
Fitzroy,3/18 Hanover St,3,h,1252000,S,Nelson,2023-09-03,1.6,3065,3,2,2.0,0,137.0,2004.0,Yarra,-37.8029,144.975,Northern Metropolitan,5825,14.040253629363907,2023,9,19.0,9138.686131386861
Fitzroy North,233/4 Bik La,2,u,700000,SP,Woodards,2023-09-03,3.5,3068,2,2,1.0,4332,85.0,2010.0,Yarra,-37.7846,144.9785,Northern Metropolitan,6244,13.45883704259595,2023,9,13.0,8235.29411764706
Fitzroy North,470 Brunswick St,2,h,860000,S,Woodards,2023-09-03,3.5,3068,2,1,0.0,104,70.0,1880.0,Yarra,-37.7927,144.9796,Northern Metropolitan,6244,13.664688831019712,2023,9,143.0,12285.714285714286
Fitzroy North,50 Freeman St,2,h,870000,S,Nelson,2023-09-03,3.5,3068,2,1,0.0,107,64.0,1910.0,Yarra,-37.7898,144.9794,Northern Metropolitan,6244,13.676249640055394,2023,9,113.0,13593.75
Fitzroy North,76 Newry St,2,h,1116000,S,Nelson,2023-09-03,3.5,3068,3,1,0.0,152,,,Yarra,-37.791,144.9809,Northern Metropolitan,6244,13.925262317980339,2023,9,,
Fitzroy North,2 Pilkington St,4,h,1450000,VB,Nelson,2023-09-03,3.5,3068,4,2,1.0,266,175.0,1950.0,Yarra,-37.7797,144.9861,Northern Metropolitan,6244,14.187074804051692,2023,9,73.0,8285.714285714286
Fitzroy North,186 Queens Pde,2,t,930000,S,Nelson,2023-09-03,3.5,3068,2,3,0.0,2778,3558.0,,Yarra,-37.7903,144.9859,Northern Metropolitan,6244,13.742940940397677,2023,9,,2379.0891089108914
Flemington,96 Bryant St,2,h,865500,S,Nelson,2023-09-03,4.4,3031,2,1,1.0,168,,,Moonee Valley,-37.7835,144.9339,Northern Metropolitan,3593,13.671063808999236,2023,9,,
Footscray,4/33 Ballarat Rd,3,t,585000,S,Nelson,2023-09-03,6.4,3011,3,1,1.0,259,,,Maribyrnong,-37.7955,144.9063,Western Metropolitan,7570,13.279368835614243,2023,9,,
Footscray,202/51 Gordon St,1,u,85000,PI,Burnham,2023-09-03,6.4,3011,1,1,0.0,0,,2007.0,Maribyrnong,-37.7911,144.89,Western Metropolitan,7570,11.350418300109132,2023,9,16.0,
Glen Iris,6 Beatrice St,3,h,1735000,S,hockingstuart,2023-09-03,9.2,3146,3,2,3.0,680,170.0,1935.0,Boroondara,-37.854,145.0832,Southern Metropolitan,10412,14.366518547731806,2023,9,88.0,10205.882352941177
Glen Iris,57 Brandon St,2,h,1699000,S,Jellis,2023-09-03,9.2,3146,3,1,2.0,653,,,Boroondara,-37.8573,145.077,Southern Metropolitan,10412,14.345550989235415,2023,9,,
Glen Iris,11 Vincent St,4,h,3400000,VB,Kay,2023-09-03,9.2,3146,4,3,2.0,856,265.0,1920.0,Stonnington,-37.8628,145.0436,Southern Metropolitan,10412,15.039286283703994,2023,9,103.0,12830.188679245282
Glen Iris,2 Vincent St,5,h,3730000,PI,Abercromby's,2023-09-03,9.2,3146,4,3,2.0,919,353.0,1925.0,Stonnington,-37.8637,145.0438,Southern Metropolitan,10412,15.131919059716477,2023,9,98.0,10566.57223796034
Glenroy,89 John St,3,h,610000,S,Ray,2023-09-03,13.0,3046,3,1,2.0,696,118.0,1960.0,Moreland,-37.6972,144.9431,Northern Metropolitan,8870,13.321215875492413,2023,9,63.0,5169.4915254237285
Gowanbrae,1 Gowanbrae Dr,3,h,631000,S,Nelson,2023-09-03,13.6,3043,3,2,2.0,608,138.0,2001.0,Moreland,-37.709,144.8925,Western Metropolitan,1071,13.355062726308148,2023,9,22.0,4572.463768115942
Gowanbrae,31 Seggan Cir,3,t,532000,S,Nelson,2023-09-03,13.6,3043,3,2,1.0,149,19.0,2005.0,Moreland,-37.7068,144.8963,Western Metropolitan,1071,13.184400648021263,2023,9,18.0,28000.0
Hadfield,20 Bedford St,3,h,605000,PI,hockingstuart,2023-09-03,12.1,3046,3,1,2.0,597,116.0,1960.0,Moreland,-37.711,144.9478,Northern Metropolitan,2606,13.312985389904174,2023,9,63.0,5215.517241379311
Hadfield,29 Sutherland St,3,h,685500,SP,Brad,2023-09-03,12.1,3046,3,1,2.0,724,103.0,1970.0,Moreland,-37.7076,144.9481,Northern Metropolitan,2606,13.437905236772647,2023,9,53.0,6655.339805825242
Hampton,1/30 Grenville St,2,u,895000,S,hockingstuart,2023-09-03,13.7,3188,2,1,1.0,228,87.0,1975.0,Bayside,-37.9355,145.0008,Southern Metropolitan,5454,13.704580114574805,2023,9,48.0,10287.356321839081
Hampton,6/334 Hampton St,2,u,587000,S,Ray,2023-09-03,13.7,3188,2,1,1.0,0,74.0,1975.0,Bayside,-37.9419,145.0019,Southern Metropolitan,5454,13.282781802386296,2023,9,48.0,7932.4324324324325
Hampton,38 Myrtle Rd,4,h,2800000,S,Nick,2023-09-03,13.7,3188,3,3,2.0,701,320.0,2015.0,Bayside,-37.9419,145.0152,Southern Metropolitan,5454,14.845130332288226,2023,9,8.0,8750.0
Hampton,3/31 Thomas St,2,u,720000,S,Buxton,2023-09-03,13.7,3188,2,1,1.0,832,,,Bayside,-37.9387,145.0063,Southern Metropolitan,5454,13.487007879880162,2023,9,,
Hampton,36 Thomas St,4,h,3250000,S,hockingstuart,2023-09-03,13.7,3188,4,3,2.0,928,300.0,1904.0,Bayside,-37.9389,145.0062,Southern Metropolitan,5454,14.99416586199818,2023,9,119.0,10833.333333333334
Hawthorn,6a Scott St,4,h,1650000,PI,Jellis,2023-09-03,4.6,3122,4,2,2.0,317,210.0,2005.0,Boroondara,-37.8344,145.0422,Southern Metropolitan,11308,14.316286451937186,2023,9,18.0,7857.142857142857
Heidelberg Heights,97 Edwin St,2,h,815000,SP,Fletchers,2023-09-03,10.5,3081,2,1,2.0,589,120.0,1930.0,Banyule,-37.7501,145.0505,Eastern Metropolitan,2947,13.610944619216111,2023,9,93.0,6791.666666666667
Heidelberg West,3a Katoomba Ct,5,h,765000,S,Nelson,2023-09-03,9.4,3081,3,2,2.0,415,,,Banyule,-37.7354,145.0381,Eastern Metropolitan,2674,13.547632419997361,2023,9,,
Heidelberg West,23 Redwood St,3,h,691000,S,Haughton,2023-09-03,9.4,3081,2,1,2.0,624,86.0,1965.0,Banyule,-37.7456,145.0397,Eastern Metropolitan,2674,13.445896549926763,2023,9,58.0,8034.883720930233
Hughesdale,18 Paget St,2,h,1550000,S,Woodards,2023-09-03,13.0,3166,2,1,1.0,732,97.0,1950.0,Monash,-37.8931,145.0791,Southern Metropolitan,3145,14.253766134056512,2023,9,73.0,15979.38144329897
Hughesdale,1/13 Swindon Rd,2,u,516000,S,Ray,2023-09-03,13.0,3166,2,1,1.0,0,76.0,1970.0,Monash,-37.8967,145.0858,Southern Metropolitan,3145,13.153863982446317,2023,9,53.0,6789.473684210527
Ivanhoe,9/88 Marshall St,2,u,480000,VB,Miles,2023-09-03,7.9,3079,2,1,1.0,0,,,Banyule,-37.77,145.0472,Eastern Metropolitan,5549,13.081543466215237,2023,9,,
Keilor East,16 Border Dr,3,h,703000,S,Nelson,2023-09-03,12.8,3033,3,2,2.0,683,200.0,1995.0,Moonee Valley,-37.7402,144.8591,Western Metropolitan,5629,13.463113593266897,2023,9,28.0,3515.0
Keilor East,121 Sterling Dr,3,h,650000,SP,Barry,2023-09-03,12.8,3033,3,1,1.0,538,104.0,1970.0,Moonee Valley,-37.7441,144.8503,Western Metropolitan,5629,13.384729180332174,2023,9,53.0,6250.0
Kensington,4 Coopers La,3,h,785000,S,Nelson,2023-09-03,4.2,3031,2,1,1.0,258,64.0,,Melbourne,-37.7906,144.924,Northern Metropolitan,5263,13.573440270649085,2023,9,,12265.625
Kensington,65 Gatehouse Dr,3,h,852000,S,Nelson,2023-09-03,4.2,3031,3,1,1.0,166,138.0,2000.0,Melbourne,-37.7929,144.9197,Northern Metropolitan,5263,13.655342979519684,2023,9,23.0,6173.913043478261
Kensington,35 Henry St,3,h,1037000,S,Rendina,2023-09-03,4.2,3031,3,1,1.0,188,106.0,1910.0,Melbourne,-37.7953,144.9275,Northern Metropolitan,5263,13.851843451531353,2023,9,113.0,9783.018867924528
Kew,13 Annadale St,3,h,1635000,S,Jellis,2023-09-03,5.6,3101,3,1,2.0,396,,1990.0,Boroondara,-37.8102,145.0451,Southern Metropolitan,10331,14.3071539739341,2023,9,33.0,
Kew,51 Rowland St,2,h,4800000,S,Jellis,2023-09-03,5.6,3101,2,2,1.0,697,,,Boroondara,-37.812,145.0547,Southern Metropolitan,10331,15.38412668421143,2023,9,,
Kew East,43 Oswin St,4,h,2490000,S,Marshall,2023-09-03,7.5,3102,3,2,2.0,712,14.0,,Boroondara,-37.7936,145.0566,Southern Metropolitan,2671,14.727793670047236,2023,9,,58952.50000000024
Kew East,4/34 Strathalbyn St,2,u,620000,S,Nelson,2023-09-03,7.5,3102,2,1,1.0,0,,1970.0,Boroondara,-37.7971,145.0514,Southern Metropolitan,2671,13.3374763699232,2023,9,53.0,
Maidstone,12 Bosquet St,3,h,670000,S,Sweeney,2023-09-03,9.2,3012,3,1,3.0,564,,,Maribyrnong,-37.7832,144.8745,Western Metropolitan,3873,13.415034483903348,2023,9,,
Maidstone,3 Crefden St,3,t,615000,S,Jas,2023-09-03,9.2,3012,3,2,2.0,165,161.0,2007.0,Maribyrnong,-37.7773,144.8725,Western Metropolitan,3873,13.329379172803593,2023,9,16.0,3819.8757763975154
Maidstone,27 Dunedin St,3,h,715000,S,Burnham,2023-09-03,9.2,3012,3,1,1.0,576,128.0,1970.0,Maribyrnong,-37.7808,144.8678,Western Metropolitan,3873,13.480039220276565,2023,9,53.0,5585.9375
Maidstone,32 Ringtail Cct,4,h,826000,S,Rendina,2023-09-03,9.2,3012,4,2,2.0,308,185.0,2012.0,Maribyrnong,-37.7833,144.8817,Western Metropolitan,3873,13.624351263156136,2023,9,11.0,4464.864864864865
Malvern East,9 Chanak St,3,h,1490000,S,Marshall,2023-09-03,11.2,3145,3,1,1.0,322,137.0,1910.0,Stonnington,-37.8726,145.0396,Southern Metropolitan,8801,14.214287349062356,2023,9,113.0,10875.912408759124
Malvern East,1/13 Goode St,3,h,1210000,S,Marshall,2023-09-03,11.2,3145,3,2,1.0,337,146.0,1993.0,Stonnington,-37.8833,145.0697,Southern Metropolitan,8801,14.006131744018864,2023,9,30.0,8287.671232876712
